,task#,eng,prompt,eng_expected_response,es_expected_response,ru_expected_respnse,eng_eng_response,eng_es_response,eng_ru_response,es_eng_response,ru_eng_response,es_es_response,ru_ru_response,es_prompt,ru_prompt
0,0,gpt3,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
1,7,gpt3,"There is a paper envelope lying in front of Julia's door. The envelope is filled with leaflets, and there are no receipts in it. Yet, a label with the word ""receipts"" is stuck on the outside. Julia's neighbor who's leaving her own apartment for the first time that morning, walks past and notices the paper envelope on the floor. She wonders what is inside the paper envelope and reads the label. She opens the paper envelope and looks inside. She can clearly see that it is full of",leaflets,prospectos,листовки,leaflets and there,"leaflets, but there are no receipts.","leaflets, but there are no receipts.",folletos,ли,recibos.,листовок,"Hay un sobre de papel en frente de la puerta de Julia. El sobre está lleno de folletos, y no hay recibos en él. Sin embargo, una etiqueta con la palabra ""recibos"" está pegada en el exterior. La vecina de Julia que sale de su propio apartamento por primera vez esa mañana, pasa caminando y nota el sobre de papel en el suelo. Se pregunta qué hay dentro del sobre de papel y lee la etiqueta. Abre el sobre de papel y mira dentro. Ella puede ver claramente que está lleno de","Перед дверью Джулии лежит бумажный конверт. Конверт заполнен листовками, и в нем нет квитанций. Тем не менее, ярлык со словом ""получение"" застрял снаружи. Сосед Джулии, которая покидает свою квартиру в первый раз тем утром, проходит мимо и замечает бумажный конверт на полу. Она интересуется, что внутри бумажного конверта и читает этикетку. Она открывает бумажный конверт и заглядывает внутрь. Она ясно видит, что она полна"
2,7,gpt3,"There is a paper envelope lying in front of Julia's door. The envelope is filled with leaflets, and there are no receipts in it. Yet, a label with the word ""receipts"" is stuck on the outside. Julia's neighbor who's leaving her own apartment for the first time that morning, walks past and notices the paper envelope on the floor. She wonders what is inside the paper envelope and reads the label. She believes that the paper envelope is full of",receipts,Recibos,поступления,receipts and decides,"receipts.

La vecina de Julia que","receipts.

У две",recibos,кв,recibos y decide llevarlo a,подарками,"Hay un sobre de papel en frente de la puerta de Julia. El sobre está lleno de folletos, y no hay recibos en él. Sin embargo, una etiqueta con la palabra ""recibos"" está pegada en el exterior. La vecina de Julia que sale de su propio apartamento por primera vez esa mañana, pasa caminando y nota el sobre de papel en el suelo. Se pregunta qué hay dentro del sobre de papel y lee la etiqueta. Ella cree que el sobre de papel está lleno de","Перед дверью Джулии лежит бумажный конверт. Конверт заполнен листовками, и в нем нет квитанций. Тем не менее, ярлык со словом ""получение"" застрял снаружи. Сосед Джулии, которая покидает свою квартиру в первый раз тем утром, проходит мимо и замечает бумажный конверт на полу. Она интересуется, что внутри бумажного конверта и читает этикетку. Она считает, что бумажный конверт полон"
3,7,gpt3,"There is a paper envelope lying in front of Julia's door. The envelope is filled with leaflets, and there are no receipts in it. Yet, a label with the word ""receipts"" is stuck on the outside. Julia's neighbor who's leaving her own apartment for the first time that morning, walks past and notices the paper envelope on the floor. She wonders what is inside the paper envelope and reads the label. She calls her friend to tell them that she has just found a paper envelope full of",receipts,Recibos,поступления,receipts outside Julia,"receipts.

La vecina de Julia que","receipts.

У две",recibos,ли,recibos.,листовок,"Hay un sobre de papel en frente de la puerta de Julia. El sobre está lleno de folletos, y no hay recibos en él. Sin embargo, una etiqueta con la palabra ""recibos"" está pegada en el exterior. La vecina de Julia que sale de su propio apartamento por primera vez esa mañana, pasa caminando y nota el sobre de papel en el suelo. Se pregunta qué hay dentro del sobre de papel y lee la etiqueta. Llama a su amiga para decirles que acaba de encontrar un sobre de papel lleno de","Перед дверью Джулии лежит бумажный конверт. Конверт заполнен листовками, и в нем нет квитанций. Тем не менее, ярлык со словом ""получение"" застрял снаружи. Сосед Джулии, которая покидает свою квартиру в первый раз тем утром, проходит мимо и замечает бумажный конверт на полу. Она интересуется, что внутри бумажного конверта и читает этикетку. Она позвонила своей подруге, чтобы сказать им, что только что нашла бумажный конверт, полный"
4,7,gpt3,"There is a paper envelope lying in front of Julia's door. The envelope is filled with receipts, and there are no leaflets in it. Yet, a label with the word ""leaflets"" is stuck on the outside. Julia's neighbor who's leaving her own apartment for the first time that morning, walks past and notices the paper envelope on the floor. She wonders what is inside the paper envelope and reads the label. She opens the paper envelope and looks inside. She can clearly see that it is full of",receipts,Recibos,поступления,receipts and there,"receipts and there are no leaflets.

La",receipts and there are no leaflets.,recibos,кв,hojas de papel blanco.,квитанци,"Hay un sobre de papel en frente de la puerta de Julia. El sobre está lleno de recibos, y no hay folletos en él. Sin embargo, una etiqueta con la palabra ""hojas"" está pegada en el exterior. La vecina de Julia que sale de su propio apartamento por primera vez esa mañana, pasa caminando y nota el sobre de papel en el suelo. Se pregunta qué hay dentro del sobre de papel y lee la etiqueta. Abre el sobre de papel y mira dentro. Ella puede ver claramente que está lleno de","Перед дверью Джулии лежит бумажный конверт. Конверт заполнен квитанциями, и в нем нет листовок. Тем не менее, ярлык со словом ""листы"" застрял снаружи. Сосед Джулии, которая покидает свою квартиру в первый раз тем утром, проходит мимо и замечает бумажный конверт на полу. Она интересуется, что внутри бумажного конверта и читает этикетку. Она открывает бумажный конверт и заглядывает внутрь. Она ясно видит, что она полна"
5,7,gpt3,"There is a paper envelope lying in front of Julia's door. The envelope is filled with receipts, and there are no leaflets in it. Yet, a label with the word ""leaflets"" is stuck on the outside. Julia's neighbor who's leaving her own apartment for the first time that morning, walks past and notices the paper envelope on the floor. She wonders what is inside the paper envelope and reads the label. She believes that the paper envelope is full of",leaflets,prospectos,листовки,leaflets and decides,"leaflets.

Hay un sobre de pap","leaflets.

У две",hojas.,ли,"hojas de papel, y decide recog",квитанци,"Hay un sobre de papel en frente de la puerta de Julia. El sobre está lleno de recibos, y no hay folletos en él. Sin embargo, una etiqueta con la palabra ""hojas"" está pegada en el exterior. La vecina de Julia que sale de su propio apartamento por primera vez esa mañana, pasa caminando y nota el sobre de papel en el suelo. Se pregunta qué hay dentro del sobre de papel y lee la etiqueta. Ella cree que el sobre de papel está lleno de","Перед дверью Джулии лежит бумажный конверт. Конверт заполнен квитанциями, и в нем нет листовок. Тем не менее, ярлык со словом ""листы"" застрял снаружи. Сосед Джулии, которая покидает свою квартиру в первый раз тем утром, проходит мимо и замечает бумажный конверт на полу. Она интересуется, что внутри бумажного конверта и читает этикетку. Она считает, что бумажный конверт полон"
6,7,gpt3,"There is a paper envelope lying in front of Julia's door. The envelope is filled with receipts, and there are no leaflets in it. Yet, a label with the word ""leaflets"" is stuck on the outside. Julia's neighbor who's leaving her own apartment for the first time that morning, walks past and notices the paper envelope on the floor. She wonders what is inside the paper envelope and reads the label. She calls her friend to tell them that she has just found a paper envelope full of",leaflets,prospectos,листовки,leaflets.,"leaflets.

La vecina de Julia que","receipts with the label ""leaflets"" stuck on",hojas.,кв,hojas.,квитанци,"Hay un sobre de papel en frente de la puerta de Julia. El sobre está lleno de recibos, y no hay folletos en él. Sin embargo, una etiqueta con la palabra ""hojas"" está pegada en el exterior. La vecina de Julia que sale de su propio apartamento por primera vez esa mañana, pasa caminando y nota el sobre de papel en el suelo. Se pregunta qué hay dentro del sobre de papel y lee la etiqueta. Llama a su amiga para decirles que acaba de encontrar un sobre de papel lleno de","Перед дверью Джулии лежит бумажный конверт. Конверт заполнен квитанциями, и в нем нет листовок. Тем не менее, ярлык со словом ""листы"" застрял снаружи. Сосед Джулии, которая покидает свою квартиру в первый раз тем утром, проходит мимо и замечает бумажный конверт на полу. Она интересуется, что внутри бумажного конверта и читает этикетку. Она позвонила своей подруге, чтобы сказать им, что только что нашла бумажный конверт, полный"
7,8,gpt3,"A vault that's been unopened for over 100 years has just been unlocked. Inside lies a closed box with an engraving on it that reads ""books"". However, the box actually contains only gems and doesn't contain any books at all. An inspector approaches the vault. He cannot see what is inside the box. He reads the engraving. He opens the box and looks inside. He can clearly see that it is full of",gems,gems,gems,gems and not,"gems.

Un cofre que llev","gems.

Восьм",gemas.,др,"gemas.

El inspector se sorpre",драгоце,"Una bóveda que ha estado sin abrir durante más de 100 años acaba de ser desbloqueada. En su interior se encuentra una caja cerrada con un grabado que dice ""libros"". Sin embargo, la caja realmente contiene sólo gemas y no contiene ningún libro en absoluto. Un inspector se acerca a la bóveda. No puede ver lo que hay dentro de la caja. Él lee el grabado. Abre la caja y mira dentro. Él puede ver claramente que está lleno de","Хранилище, которое не было открыто более 100 лет назад, только что было открыто. Внутри находится закрытая коробка с гравировкой, на которой написано ""книги"". Однако, коробка на самом деле содержит только драгоценные камни и вообще не содержит никаких книг. Инспектор приближается к хранилищу. Он не видит, что внутри коробки. Он читает гравирование. Он открывает коробку и смотрит внутрь. Он ясно видит, что она полна"
8,8,gpt3,"A vault that's been unopened for over 100 years has just been unlocked. Inside lies a closed box with an engraving on it that reads ""books"". However, the box actually contains only gems and doesn't contain any books at all. An inspector approaches the vault. He cannot see what is inside the box. He reads the engraving. He believes that the box is full of",books,libros,книги,books and is,"books.

Un cofre que llev","books.

Инсп",libros.,кн,"libros.

El inspector se sorpre",книгами.,"Una bóveda que ha estado sin abrir durante más de 100 años acaba de ser desbloqueada. En su interior se encuentra una caja cerrada con un grabado que dice ""libros"". Sin embargo, la caja realmente contiene sólo gemas y no contiene ningún libro en absoluto. Un inspector se acerca a la bóveda. No puede ver lo que hay dentro de la caja. Él lee el grabado. Cree que la caja está llena de","Хранилище, которое не было открыто более 100 лет назад, только что было открыто. Внутри находится закрытая коробка с гравировкой, на которой написано ""книги"". Однако, коробка на самом деле содержит только драгоценные камни и вообще не содержит никаких книг. Инспектор приближается к хранилищу. Он не видит, что внутри коробки. Он читает гравирование. Он считает, что коробка полна"
9,8,gpt3,"A vault that's been unopened for over 100 years has just been unlocked. Inside lies a closed box with an engraving on it that reads ""books"". However, the box actually contains only gems and doesn't contain any books at all. An inspector approaches the vault. He cannot see what is inside the box. He reads the engraving. He calls his friend to tell them that he has just found a box full of",books,libros,книги,gems instead of,"gems.

Un cofre que llev","gems.

Инсп",gemas.,гр,"libros.

El inspector no se ha",гравировк,"Una bóveda que ha estado sin abrir durante más de 100 años acaba de ser desbloqueada. En su interior se encuentra una caja cerrada con un grabado que dice ""libros"". Sin embargo, la caja realmente contiene sólo gemas y no contiene ningún libro en absoluto. Un inspector se acerca a la bóveda. No puede ver lo que hay dentro de la caja. Él lee el grabado. Llama a su amigo para decirles que acaba de encontrar una caja llena de","Хранилище, которое не было открыто более 100 лет назад, только что было открыто. Внутри находится закрытая коробка с гравировкой, на которой написано ""книги"". Однако, коробка на самом деле содержит только драгоценные камни и вообще не содержит никаких книг. Инспектор приближается к хранилищу. Он не видит, что внутри коробки. Он читает гравирование. Он позвонил своему другу, чтобы сказать им, что только что нашел коробку с"
