,task#,eng,prompt,eng_expected_response,es_expected_response,ru_expected_respnse,eng_eng_response,eng_es_response,eng_ru_response,es_eng_response,ru_eng_response,es_es_response,ru_ru_response,es_prompt,ru_prompt
0,0,gpt3,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample,sample
1,1,gpt3,"On the shelf, there is a bottle. It is full of beer; there is no wine in it. Yet, the label on this bottle says ""wine"" and not ""beer"". Mark walks into the room and notices the bottle. He has never seen it before. He reads the label. He opens the bottle and looks inside. He can clearly see that it is full of",beer,Cerveza,Пиво,"beer, not","beer.

Marc entra en la habit","beer.

На п",cerveza,пи,cerveza. Se ríe y dice,"пива, а н","En el estante, hay una botella. Está lleno de cerveza; no hay vino en ella. Sin embargo, la etiqueta de esta botella dice ""vino"" y no ""cerveza"". Mark entra en la habitación y nota la botella. Nunca lo había visto antes. Lee la etiqueta. Abre la botella y mira dentro. Él puede ver claramente que está lleno de","На полке есть бутылка. Там полно пива, в нем нет вина. Тем не менее, на этикетке на этой бутылке написано ""вино"", а не ""пиво"". Марк входит в комнату и замечает бутылку. Он никогда не видел этого раньше. Он читает этикетку. Он открывает бутылку и смотрит внутрь. Он ясно видит, что она полна"
2,1,gpt3,"On the shelf, there is a bottle. It is full of beer; there is no wine in it. Yet, the label on this bottle says ""wine"" and not ""beer"". Mark walks into the room and notices the bottle. He has never seen it before. He reads the label. He believes that the bottle is full of",wine,vino,вино,"wine, not","wine.

En la estantería","wine.

На п",vino.,ви,"vino, aunque sabe que no","вина, пот","En el estante, hay una botella. Está lleno de cerveza; no hay vino en ella. Sin embargo, la etiqueta de esta botella dice ""vino"" y no ""cerveza"". Mark entra en la habitación y nota la botella. Nunca lo había visto antes. Lee la etiqueta. Cree que la botella está llena de","На полке есть бутылка. Там полно пива, в нем нет вина. Тем не менее, на этикетке на этой бутылке написано ""вино"", а не ""пиво"". Марк входит в комнату и замечает бутылку. Он никогда не видел этого раньше. Он читает этикетку. Он считает, что бутылка полна"
3,1,gpt3,"On the shelf, there is a bottle. It is full of beer; there is no wine in it. Yet, the label on this bottle says ""wine"" and not ""beer"". Mark walks into the room and notices the bottle. He has never seen it before. He reads the label. He calls his friend to tell them that he has just found a bottle full of",wine,vino,вино,"wine, not","wine.

Marc entra en la habit","wine.

На п",vino.,ви,"vino, aunque en realidad est",вином.,"En el estante, hay una botella. Está lleno de cerveza; no hay vino en ella. Sin embargo, la etiqueta de esta botella dice ""vino"" y no ""cerveza"". Mark entra en la habitación y nota la botella. Nunca lo había visto antes. Lee la etiqueta. Llama a su amigo para decirles que acaba de encontrar una botella llena de","На полке есть бутылка. Там полно пива, в нем нет вина. Тем не менее, на этикетке на этой бутылке написано ""вино"", а не ""пиво"". Марк входит в комнату и замечает бутылку. Он никогда не видел этого раньше. Он читает этикетку. Он позвонил своему другу, чтобы сказать им, что только что нашел бутылку с"
4,1,gpt3,"On the shelf, there is a bottle. It is full of wine; there is no beer in it. Yet, the label on this bottle says ""beer"" and not ""wine"". Mark walks into the room and notices the bottle. He has never seen it before. He reads the label. He opens the bottle and looks inside. He can clearly see that it is full of",wine,vino,вино,"wine, not","wine.

Marc entra en la habit","wine.

На п",vino.,ви,"vino, no cerveza. Se r","вина, а н","En el estante, hay una botella. Está lleno de vino; no hay cerveza en él. Sin embargo, la etiqueta de esta botella dice ""cerveza"" y no ""vino"". Mark entra en la habitación y nota la botella. Nunca lo había visto antes. Lee la etiqueta. Abre la botella y mira dentro. Él puede ver claramente que está lleno de","На полке есть бутылка. В нем полно вина, в нем нет пива. Тем не менее, на этикетке на этой бутылке написано ""пиво"", а не ""вино"". Марк входит в комнату и замечает бутылку. Он никогда не видел этого раньше. Он читает этикетку. Он открывает бутылку и смотрит внутрь. Он ясно видит, что она полна"
5,1,gpt3,"On the shelf, there is a bottle. It is full of wine; there is no beer in it. Yet, the label on this bottle says ""beer"" and not ""wine"". Mark walks into the room and notices the bottle. He has never seen it before. He reads the label. He believes that the bottle is full of",beer,Cerveza,Пиво,"beer, not","beer.

Mark entra en la habit","beer.

На п",cerveza,пи,"cerveza, pero al oler el","пива, пот","En el estante, hay una botella. Está lleno de vino; no hay cerveza en él. Sin embargo, la etiqueta de esta botella dice ""cerveza"" y no ""vino"". Mark entra en la habitación y nota la botella. Nunca lo había visto antes. Lee la etiqueta. Cree que la botella está llena de","На полке есть бутылка. В нем полно вина, в нем нет пива. Тем не менее, на этикетке на этой бутылке написано ""пиво"", а не ""вино"". Марк входит в комнату и замечает бутылку. Он никогда не видел этого раньше. Он читает этикетку. Он считает, что бутылка полна"
6,1,gpt3,"On the shelf, there is a bottle. It is full of wine; there is no beer in it. Yet, the label on this bottle says ""beer"" and not ""wine"". Mark walks into the room and notices the bottle. He has never seen it before. He reads the label. He calls his friend to tell them that he has just found a bottle full of",beer,Cerveza,Пиво,beer. His,"beer.

Marc entra en la habit","beer.

На п",cerveza,пи,"cerveza, aunque en realidad",пивом. Др,"En el estante, hay una botella. Está lleno de vino; no hay cerveza en él. Sin embargo, la etiqueta de esta botella dice ""cerveza"" y no ""vino"". Mark entra en la habitación y nota la botella. Nunca lo había visto antes. Lee la etiqueta. Llama a su amigo para decirles que acaba de encontrar una botella llena de","На полке есть бутылка. В нем полно вина, в нем нет пива. Тем не менее, на этикетке на этой бутылке написано ""пиво"", а не ""вино"". Марк входит в комнату и замечает бутылку. Он никогда не видел этого раньше. Он читает этикетку. Он позвонил своему другу, чтобы сказать им, что только что нашел бутылку с"
7,2,gpt3,"On the shelf in the company's headquarters, there is a hard drive that contains only audio files and no video files. Yet, confusingly, its label clearly states ""video files"" and not ""audio files"". The newly hired computer engineer finds the hard drive on the shelf. She has never seen this hard drive before. She reads its label. She opens the hard drive and looks inside. She can clearly see that it is full of",audio,audio,звук,audio files and,"audio files and not video files.

En",audio files and not video files.,archivos,ау,"archivos de audio, pero ning",аудиофа,"En el estante de la sede de la compañía, hay un disco duro que contiene sólo archivos de audio y ningún archivo de vídeo. Sin embargo, confusamente, su etiqueta indica claramente ""archivos de vídeo"" y no ""archivos de audio"". El recién contratado ingeniero informático encuentra el disco duro en el estante. Nunca había visto este disco duro antes. Ella lee su etiqueta. Abre el disco duro y mira dentro. Ella puede ver claramente que está lleno de","На полке в штаб-квартире компании есть жесткий диск, который содержит только аудиофайлы и нет видеофайлов. И все же, запутавшись, его ярлык ясно указывает ""видеофайлы"", а не ""аудиофайлы"". Недавно нанятый компьютерный инженер нашел жёсткий диск на полке. Она никогда раньше не видела такого жесткого диска. Она читает его лейбл. Она открывает жесткий диск и смотрит внутрь. Она ясно видит, что она полна"
8,2,gpt3,"On the shelf in the company's headquarters, there is a hard drive that contains only audio files and no video files. Yet, confusingly, its label clearly states ""video files"" and not ""audio files"". The newly hired computer engineer finds the hard drive on the shelf. She has never seen this hard drive before. She reads its label. She believes that the hard drive is full of",video,vídeo,видео,"video files,","video files.

En el estante en","video files.

На п",archivos,ви,"archivos de vídeo, per",видеофа,"En el estante de la sede de la compañía, hay un disco duro que contiene sólo archivos de audio y ningún archivo de vídeo. Sin embargo, confusamente, su etiqueta indica claramente ""archivos de vídeo"" y no ""archivos de audio"". El recién contratado ingeniero informático encuentra el disco duro en el estante. Nunca había visto este disco duro antes. Ella lee su etiqueta. Ella cree que el disco duro está lleno de","На полке в штаб-квартире компании есть жесткий диск, который содержит только аудиофайлы и нет видеофайлов. И все же, запутавшись, его ярлык ясно указывает ""видеофайлы"", а не ""аудиофайлы"". Недавно нанятый компьютерный инженер нашел жёсткий диск на полке. Она никогда раньше не видела такого жесткого диска. Она читает его лейбл. Она считает, что жёсткий диск полон"
9,2,gpt3,"On the shelf in the company's headquarters, there is a hard drive that contains only audio files and no video files. Yet, confusingly, its label clearly states ""video files"" and not ""audio files"". The newly hired computer engineer finds the hard drive on the shelf. She has never seen this hard drive before. She reads its label. She calls her friend to tell them that she has just found a hard drive full of",video,vídeo,видео,video files.,"video files.

En el estante en","video files.

Ново",archivos,ви,archivos de vídeo.,видеофа,"En el estante de la sede de la compañía, hay un disco duro que contiene sólo archivos de audio y ningún archivo de vídeo. Sin embargo, confusamente, su etiqueta indica claramente ""archivos de vídeo"" y no ""archivos de audio"". El recién contratado ingeniero informático encuentra el disco duro en el estante. Nunca había visto este disco duro antes. Ella lee su etiqueta. Llama a su amiga para decirles que acaba de encontrar un disco duro lleno de","На полке в штаб-квартире компании есть жесткий диск, который содержит только аудиофайлы и нет видеофайлов. И все же, запутавшись, его ярлык ясно указывает ""видеофайлы"", а не ""аудиофайлы"". Недавно нанятый компьютерный инженер нашел жёсткий диск на полке. Она никогда раньше не видела такого жесткого диска. Она читает его лейбл. Она позвонила своей подруге, чтобы сказать им, что нашла жесткий диск, полный"
